ID;Name;Longitude_WGS84;Latitude_WGS84;Street;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;geoData
431;«2-я Новоостанкинская ул.», Новомосковская улица (431);37.61829629;55.81449523;Новомосковская улица;Северо-Восточный административный округ;Останкинский район;"А15; А24; А24К; А85; АТ13";2-я Новоостанкинская ул.;;да;ГУП «Мосгортранс»;активна;889085499;{type=Point, coordinates=[37.61829629, 55.81449523]}
432;«Экскурсионный корпус телебашни», Новомосковская улица (432);37.6175586;55.81747325;Новомосковская улица;Северо-Восточный административный округ;Останкинский район;"А15; А24; А24К; А85; АТ13";Останкинский пруд;;нет;;активна;889085501;{type=Point, coordinates=[37.6175586, 55.81747325]}
433;«Ул. Акад. Королева», улица Академика Королёва (433);37.6159211;55.82169934;улица Академика Королёва;Северо-Восточный административный округ;Останкинский район;"А24; А24К; А311; Тб36; А379; А561; Тб73; А73Э; А85; АМ9";Ул. Акад. Королева;;да;ЗАО «Валль-СНГ»;активна;889085502;{type=Point, coordinates=[37.6159211, 55.82169934]}
434;«Останкинский пруд», улица Академика Королёва (434);37.61176015;55.82175066;улица Академика Королёва;Северо-Восточный административный округ;Останкинский район;"А24; А24К; А311; Тб36; А379; А561; Тб73; А73Э; А85; АМ9";Ул. Кашенкин Луг;;да;ЗАО «Валль-СНГ»;активна;889085503;{type=Point, coordinates=[37.61176015, 55.82175066]}
435;«Телецентр», улица Академика Королёва (435);37.6045616;55.82176801;улица Академика Королёва;Северо-Восточный административный округ;Останкинский район;"А24; А24К; А311; Тб36; А379; А561; Тб73; А73Э; А85; АМ9";Телецентр;;да;ЗАО «Валль-СНГ»;активна;889085504;{type=Point, coordinates=[37.6045616, 55.82176801]}
436;«Ул. Кашенкин Луг», Ботаническая улица (436);37.60226796;55.82540749;Ботаническая улица;Северо-Восточный административный округ;Останкинский район;"А24; А24К; Тб36; А379; Тб73; А73Э; А76; А803; А85; АМ9";Ул. Кашенкин Луг;;да;ГУП «Мосгортранс»;активна;889085505;{type=Point, coordinates=[37.60226796, 55.82540749]}
437;«Ул. Акад. Комарова», Ботаническая улица (437);37.60091971;55.83057072;Ботаническая улица;Северо-Восточный административный округ;Останкинский район;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";Ул. Акад. Комарова;;да;ГУП «Мосгортранс»;активна;889085506;{type=Point, coordinates=[37.60091971, 55.83057072]}
438;«6-й Новоостанкинский пр.», Звёздный бульвар (438);37.62955712;55.81531701;Звёздный бульвар;Северо-Восточный административный округ;Останкинский район;А85;6-й Новоостанкинский пр.;;да;ГУП «Мосгортранс»;активна;889085508;{type=Point, coordinates=[37.62955712, 55.81531701]}
439;«Гост. Останкино», Ботаническая улица (439);37.59582389;55.83328234;Ботаническая улица;Северо-Восточный административный округ;Останкинский район;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";Гост. Останкино;;да;ГУП «Мосгортранс»;активна;889085509;{type=Point, coordinates=[37.59582389, 55.83328234]}
440;«Ботаническая ул., 33», Ботаническая улица (440);37.58931158;55.83973132;Ботаническая улица;Северо-Восточный административный округ;Останкинский район;"А24; А24К; Тб36; Тб73; А73Э; А76; А76к; А803; А85; АМ9";Ботаническая ул., 33;;да;ГУП «Мосгортранс»;активна;889085510;{type=Point, coordinates=[37.58931158, 55.83973132]}
441;«Главный вход Ботанического сада», Сусоколовское шоссе (441);37.58652624;55.84380936;Сусоколовское шоссе;Северо-Восточный административный округ;район Марфино;"А24; А24К; А76; А76к; А85; АМ9";Главный вход Ботанического сада;;нет;;активна;889085511;{type=Point, coordinates=[37.58652624, 55.84380936]}
442;«Туристская ул.», улица Героев Панфиловцев (442);37.41960479;55.85795752;улица Героев Панфиловцев;Северо-Западный административный округ;район Северное Тушино;Тм6;Туристская ул.;;да;ГУП «Мосгортранс»;активна;889085512;{type=Point, coordinates=[37.41960479, 55.85795752]}
443;«Планерная ул.», улица Героев Панфиловцев (443);37.4311526;55.85779201;улица Героев Панфиловцев;Северо-Западный административный округ;район Северное Тушино;Тм6;Планерная ул.;;да;ГУП «Мосгортранс»;активна;889085513;{type=Point, coordinates=[37.4311526, 55.85779201]}
444;«Нелидовская ул.», Сходненская улица (444);37.43946701;55.846368;Сходненская улица;Северо-Западный административный округ;район Южное Тушино;Тм6;Нелидовская ул.;;да;ГУП «Мосгортранс»;активна;889085515;{type=Point, coordinates=[37.43946701, 55.846368]}
445;«Западный мост», Сходненская улица (445);37.43784849;55.83814828;Сходненская улица;Северо-Западный административный округ;район Южное Тушино;Тм6;Западный мост;;да;ГУП «Мосгортранс»;активна;889085516;{type=Point, coordinates=[37.43784849, 55.83814828]}
446;«Новопоселковая ул.», Лодочная улица (446);37.44158514;55.83710975;Лодочная улица;Северо-Западный административный округ;район Южное Тушино;Тм6;Новопоселковая ул.;;нет;;активна;889085517;{type=Point, coordinates=[37.44158514, 55.83710975]}
448;«Тушинская ул.», улица Свободы (448);37.45162159;55.8250825;улица Свободы;Северо-Западный административный округ;район Покровское-Стрешнево;Тм6;Тушинская ул.;;нет;;активна;889085518;{type=Point, coordinates=[37.45162159, 55.8250825]}
449;«Канал им. Москвы», Волоколамское шоссе (449);37.45101912;55.81921573;Волоколамское шоссе;Северо-Западный административный округ;район Покровское-Стрешнево;Тм6;Покровское-Глебово;;да;ГУП «Мосгортранс»;активна;889085519;{type=Point, coordinates=[37.45101912, 55.81921573]}
450;«Б-ца МПС», Волоколамское шоссе (450);37.46051703;55.81675657;Волоколамское шоссе;Северо-Западный административный округ;район Щукино;Тм6;Покровское-Стрешнево;;нет;;активна;889085520;{type=Point, coordinates=[37.46051703, 55.81675657]}
451;«Покровское-Глебово», Волоколамское шоссе (451);37.46849255;55.81466893;Волоколамское шоссе;Северо-Западный административный округ;район Покровское-Стрешнево;Тм6;Покровское-Глебово;;да;ЗАО «Валль-СНГ»;активна;889085521;{type=Point, coordinates=[37.46849255, 55.81466893]}
452;«Покровское-Стрешнево», Авиационная улица (452);37.47489816;55.81064426;Авиационная улица;Северо-Западный административный округ;район Щукино;Тм6;Покровское-Стрешнево;;нет;;активна;889085522;{type=Point, coordinates=[37.47489816, 55.81064426]}
453;«Пехотная ул.», Авиационная улица (453);37.48249292;55.81051038;Авиационная улица;Северо-Западный административный округ;район Щукино;"Тм15; Тм28; Тм30; Тм31; Тм6";Пехотная ул.;;да;ГУП «Мосгортранс»;активна;889085524;{type=Point, coordinates=[37.48249292, 55.81051038]}
456;«Братцево», улица Героев Панфиловцев (456);37.40781855;55.85268104;улица Героев Панфиловцев;Северный административный округ;район Сокол;Тм6;Метро Сокол;;да;ГУП «Мосгортранс»;активна;889085525;{type=Point, coordinates=[37.40781855, 55.85268104]}
